11212101,0
11212102,2
11212103,2
11212106,2
11212109,2
11212111,2
11212112,2
11212113,2
11212114,2
11212116,2
11212117,2
11212118,2
11212119,2
11212120,2
11222101,0
11222102,0
11222106,0
11222108,0
11222109,0
11222111,0
11222113,0
11222114,0
11222115,0
11222116,0
11222117,0
11222118,0
11222119,0
11222120,0
11232101,0
11232102,2
11232103,2
11232106,2
11232108,2
11232109,2
11232111,2
11232112,2
11232113,2
11232114,2
11232115,0
11232117,2
11232118,2
11232120,2
11242101,0
11242102,2
11242103,2
11242108,2
11242111,2
11242112,2
11242113,2
11242114,2
11242115,0
11242116,2
11242117,2
11242118,2
11242119,2
11242120,2
11252101,0
11252102,2
11252103,2
11252106,2
11252109,2
11252111,2
11252112,2
11252113,2
11252114,2
11252115,0
11252116,2
11252117,2
11252118,2
11252119,2
11262101,0
11262102,2
11262103,2
11262106,2
11262108,2
11262109,2
11262111,2
11262112,2
11262114,2
11262115,0
11262116,2
11262117,2
11262118,2
11262119,2
11282101,0
11282102,2
11282103,2
11282108,2
11282109,2
11282111,2
11282113,2
11282114,2
11282115,0
11282116,2
11282117,2
11282118,2
11282119,2
11282120,2
11312101,0
11312103,2
11312106,2
11312108,2
11312109,2
11312111,2
11312112,2
11312114,2
11312115,0
11312116,2
11312117,2
11312118,2
11312119,2
11312120,2
11322101,0
11322102,2
11322103,2
11322106,2
11322108,2
11322109,2
11322112,2
11322113,2
11322114,2
11322115,0
11322116,2
11322118,2
11322119,2
11322120,2
11342101,0
11342102,2
11342103,2
11342106,2
11342108,2
11342109,2
11342111,2
11342112,2
11342113,2
11342114,2
11342115,0
11342116,2
11342119,2
11342120,2
11352101,0
11352103,2
11352106,2
11352108,2
11352109,2
11352111,2
11352112,2
11352113,2
11352115,0
11352116,2
11352117,2
11352118,2
11352119,2
11352120,2
11362101,0
11362102,2
11362106,2
11362108,2
11362109,2
11362111,2
11362112,2
11362113,2
11362115,0
11362116,2
11362117,2
11362118,2
11362119,2
11362120,2
11372102,2
11372103,2
11372106,2
11372108,2
11372111,2
11372112,2
11372113,2
11372114,2
11372115,0
11372116,2
11372117,2
11372118,2
11372119,2
11372120,2
11382101,0
11382102,2
11382103,2
11382106,2
11382108,2
11382109,2
11382112,2
11382113,2
11382114,2
11382116,2
11382117,2
11382118,2
11382119,2
11382120,2
11392101,0
11392102,2
11392103,2
11392106,2
